CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12-01,716,246,221,251,245,285,249,236,240,265,254,348,172
2011-01-01,332,69,82,81,110,90,82,86,104,102,124,45,
2011-02-01,316,58,57,83,85,74,80,83,86,95,28,,
2011-03-01,388,63,100,76,83,67,98,85,107,38,,,
2011-04-01,255,49,52,49,47,52,56,59,17,,,,
2011-05-01,249,40,43,36,52,58,61,22,,,,,
2011-06-01,207,33,26,41,49,62,19,,,,,,
2011-07-01,173,28,31,38,44,17,,,,,,,
2011-08-01,139,30,28,35,14,,,,,,,,
2011-09-01,279,56,78,34,,,,,,,,,
2011-10-01,318,67,30,,,,,,,,,,
2011-11-01,291,32,,,,,,,,,,,
2011-12-01,38,,,,,,,,,,,,